Ready to Parse files17:30:54 - Loading in to memory
17:30:54 - Converting Items
22:43:02 - 685 Files saved
22:44:57 - 686 Files saved
22:45:31 - 687 Files saved
22:47:59 - 688 Files saved
22:51:29 - 689 Files saved
22:54:19 - 690 Files saved
22:55:11 - 691 Files saved
22:58:52 - 692 Files saved
23:00:17 - 693 Files saved
23:01:31 - 694 Files saved
23:09:43 - 695 Files saved
23:15:37 - 696 Files saved
23:16:22 - 697 Files saved
23:25:19 - 698 Files saved
23:25:51 - 699 Files saved
23:26:02 - 700 Files saved
23:28:00 - 701 Files saved
23:29:04 - 702 Files saved
23:30:09 - 703 Files saved
23:33:45 - 704 Files saved
23:38:57 - 705 Files saved
23:39:51 - 706 Files saved
23:40:55 - 707 Files saved
23:43:47 - 708 Files saved
23:48:49 - 709 Files saved
23:49:20 - 710 Files saved
23:49:31 - 711 Files saved
23:49:42 - 712 Files saved
23:54:33 - 713 Files saved
23:57:29 - 714 Files saved
00:07:45 - 715 Files saved
00:10:07 - 716 Files saved
00:11:24 - 717 Files saved
00:12:08 - 718 Files saved
00:12:30 - 719 Files saved
00:16:40 - 720 Files saved
00:22:41 - 721 Files saved
00:22:41 - 722 Files saved
00:27:05 - 723 Files saved
00:31:48 - 724 Files saved
00:31:59 - 725 Files saved
00:34:00 - 726 Files saved
00:35:29 - 727 Files saved
00:38:47 - 728 Files saved
00:38:58 - 729 Files saved
00:41:33 - 730 Files saved
00:41:44 - 731 Files saved
00:43:01 - 732 Files saved
00:44:17 - 733 Files saved
00:46:20 - 734 Files saved
00:47:16 - 735 Files saved
00:49:29 - 736 Files saved
00:53:24 - 737 Files saved
00:55:38 - 738 Files saved
00:57:55 - 739 Files saved
01:02:37 - 740 Files saved
01:05:48 - 741 Files saved
01:07:06 - 742 Files saved
01:07:18 - 743 Files saved
01:07:29 - 744 Files saved
01:10:51 - 745 Files saved
01:13:06 - 746 Files saved
01:14:36 - 747 Files saved
01:15:56 - 748 Files saved
01:16:52 - 749 Files saved
01:24:20 - 750 Files saved
01:27:00 - 751 Files saved
01:27:34 - 752 Files saved
01:28:08 - 753 Files saved
01:31:22 - 754 Files saved
01:31:45 - 755 Files saved
01:34:00 - 756 Files saved
01:42:21 - 757 Files saved
01:42:32 - 758 Files saved
01:43:29 - 759 Files saved
01:44:14 - 760 Files saved
01:46:19 - 761 Files saved
01:46:33 - 762 Files saved
01:48:28 - 763 Files saved
01:49:02 - 764 Files saved
01:51:56 - 765 Files saved
01:53:05 - 766 Files saved
01:54:14 - 767 Files saved
01:55:37 - 768 Files saved
01:59:28 - 769 Files saved
02:03:19 - 770 Files saved
02:03:54 - 771 Files saved
02:05:03 - 772 Files saved
02:05:26 - 773 Files saved
02:05:38 - 774 Files saved
02:05:50 - 775 Files saved
02:12:32 - 776 Files saved
02:14:51 - 777 Files saved
02:15:49 - 778 Files saved
02:21:13 - 779 Files saved
02:23:44 - 780 Files saved
02:29:22 - 781 Files saved
02:29:46 - 782 Files saved
02:30:09 - 783 Files saved
02:33:39 - 784 Files saved
02:36:59 - 785 Files saved
02:38:56 - 786 Files saved
02:41:27 - 787 Files saved
02:42:03 - 788 Files saved
02:45:21 - 789 Files saved
02:45:56 - 790 Files saved
02:51:24 - 791 Files saved
02:53:57 - 792 Files saved
02:54:32 - 793 Files saved
02:58:26 - 794 Files saved
02:58:49 - 795 Files saved
03:00:00 - 796 Files saved
03:01:34 - 797 Files saved
03:08:07 - 798 Files saved
03:09:07 - 799 Files saved
03:13:17 - 800 Files saved
03:14:05 - 801 Files saved
03:19:54 - 802 Files saved
03:20:06 - 803 Files saved
03:24:30 - 804 Files saved
03:32:10 - 805 Files saved
03:33:59 - 806 Files saved
03:35:13 - 807 Files saved
03:37:14 - 808 Files saved
03:39:28 - 809 Files saved
03:46:25 - 810 Files saved
03:48:15 - 811 Files saved
03:57:49 - 812 Files saved
04:01:17 - 813 Files saved
04:05:22 - 814 Files saved
04:07:25 - 815 Files saved
04:08:01 - 816 Files saved
04:08:17 - 817 Files saved
04:16:53 - 818 Files saved
04:18:19 - 819 Files saved
04:18:56 - 820 Files saved
04:22:10 - 821 Files saved
04:22:25 - 822 Files saved
04:24:52 - 823 Files saved
04:25:17 - 824 Files saved
04:25:43 - 825 Files saved
04:25:43 - Complete
